wals code	glottocode	name	latitude	longitude	macroarea	genus	family	sample 100	sample 200
neg	negi1245	Negidal	53.0	139.0	Eurasia	Tungusic	Altaic	False	False
tgw	west2538	Tarangan (West)	-6.5	134.166666667	Papunesia	Central Malayo-Polynesian	Austronesian	False	False
bka	baka1274	Baka (in Sudan)	4.83333333333	29.25	Africa	Bongo-Bagirmi	Nilo-Saharan	False	False
bak	baka1272	Baka (in Cameroon)	2.58333333333	13.5833333333	Africa	Ubangi	Niger-Congo	False	False
sol	even1259	Solon	48.0	120.0	Eurasia	Tungusic	Altaic	False	False
tub	tuba1279	Tubar	27.0	-108.0	North America	Tubar	Uto-Aztecan	False	False
kwz	kwaz1243	Kwazá	-12.5833333333	-60.6666666667	South America	Kwaza	Kwaza	False	False
bua	bura1267	Burarra	-12.25	134.583333333	Australia	Burarran	Australian	False	False
aul	aulu1238	Aulua	-16.3333333333	167.666666667	Papunesia	Oceanic	Austronesian	False	False
rot	rotu1241	Rotuman	-12.5	177.066666667	Papunesia	Oceanic	Austronesian	False	False
tmu	musl1236	Tat (Muslim)	41.25	48.75	Eurasia	Iranian	Indo-European	False	False
tbb	tuba1278	Tübatulabal	36.0	-118.333333333	North America	Tubatulabal	Uto-Aztecan	False	False
yba	yamb1251	Yamba	6.41666666667	11.0833333333	Africa	Bantoid	Niger-Congo	False	False
mno	mono1275	Mono (in United States)	38.0	-119.0	North America	Numic	Uto-Aztecan	False	False
moa	mono1273	Mono-Alu	-7.05	155.75	Papunesia	Oceanic	Austronesian	False	False
slr	sala1264	Salar	35.0	103.0	Eurasia	Turkic	Altaic	False	False
yid	yidi1250	Yidiny	-17.0	145.75	Australia	Pama-Nyungan	Australian	False	True
knu	rapo1238	Konua	-5.83333333333	154.833333333	Papunesia	West Bougainville	West Bougainville	False	False
shi	nina1238	Shiriana	3.5	-62.8333333333	South America	Yanomam	Yanomam	False	False
aml	east2443	Ambae (Lolovoli Northeast)	-15.4166666667	167.883333333	Papunesia	Oceanic	Austronesian	False	False
mcg	maca1259	Macaguán	6.5	-71.3333333333	South America	Guahiban	Guahiban	False	False
mdl	madn1237	Madngele	-13.8333333333	130.416666667	Australia	Eastern Daly	Australian	False	False
coi	chor1273	Chortí	14.8333333333	-89.25	North America	Mayan	Mayan	False	False
har	haru1245	Haruai	-5.08333333333	144.166666667	Papunesia	Piawi	Piawi	False	False
ren	rend1243	Rendille	2.0	37.5	Africa	Eastern Cushitic	Afro-Asiatic	False	False
cln	chol1284	Cholón	-8.0	-77.5	South America	Cholon	Cholon	False	False
bgl	bugl1243	Buglere	8.5	-81.25	North America	Guaymi	Chibchan	False	False
ayo	None	Ayomán	11.0	-69.0	None	Jirajaran	Jirajaran	False	False
kss	sout2778	Kisi (Southern)	8.5	-10.25	Africa	Southern Atlantic	Niger-Congo	False	False
kis	kiss1245	Kisi	8.83333333333	-10.1666666667	Africa	Southern Atlantic	Niger-Congo	False	False
hok	minn1241	Hokkien	25.0	118.0	Eurasia	Chinese	Sino-Tibetan	False	False
chz	minn1241	Chaozhou	23.6666666667	116.666666667	Eurasia	Chinese	Sino-Tibetan	False	False
gaa	gaga1251	Gaagudju	-12.5833333333	132.833333333	Australia	Gaagudju	Australian	False	False
mmw	mamb1296	Mambwe	-9.08333333333	31.1666666667	Africa	Bantoid	Niger-Congo	False	False
biq	sara1326	Bilaan	6.0	125.333333333	Papunesia	Bilic	Austronesian	False	False
bnr	ngar1235	Bilinara	-16.0	131.666666667	Australia	Pama-Nyungan	Australian	False	False
ngy	ngar1235	Ngarinyman	-16.5	130.5	Australia	Pama-Nyungan	Australian	False	False
toy	None	Tasmanian (Oyster Bay to Pitwater)	-42.5	147.75	None	Tasmanian	Tasmanian	False	False
tsm	None	Tasmanian	-42.1666666667	146.5	None	Tasmanian	Tasmanian	False	False
meh	mehr1241	Mehri	17.0	51.5	Eurasia	Semitic	Afro-Asiatic	False	False
hrs	hars1241	Harsusi	20.0	56.5	Eurasia	Semitic	Afro-Asiatic	False	False
bth	bath1244	Bathari	18.0	56.0	Eurasia	Semitic	Afro-Asiatic	False	False
jib	sheh1240	Jibbali	17.5	55.0	Eurasia	Semitic	Afro-Asiatic	False	False
soq	soqo1240	Soqotri	12.5	54.0	Africa	Semitic	Afro-Asiatic	False	False
may	maib1239	Maybrat	-1.33333333333	132.5	Papunesia	North-Central Bird's Head	West Papuan	True	True
zap	mitl1236	Zapotec (Mitla)	16.8	-96.25	North America	Zapotecan	Oto-Manguean	False	False
zsq	sanj1284	Zapotec (San Lucas Quiaviní)	16.9	-96.4666666667	North America	Zapotecan	Oto-Manguean	False	False
zai	isth1244	Zapotec (Isthmus)	16.416667	-95.0	North America	Zapotecan	Oto-Manguean	False	False
zya	yatz1235	Zapotec (Yatzachi)	17.2	-96.2	North America	Zapotecan	Oto-Manguean	False	False
zaq	sant1451	Zapotec (Quiegolani)	16.1666666667	-96.0833333333	North America	Zapotecan	Oto-Manguean	False	False
zzo	zoog1238	Zapotec (Zoogocho)	17.25	-96.25	North America	Zapotecan	Oto-Manguean	False	False
zaj	sier1250	Zapotec (Juárez)	17.5	-96.5833333333	North America	Zapotecan	Oto-Manguean	False	False
zam	mixt1426	Zapotec (Mixtepec)	16.3333333333	-96.3333333333	North America	Zapotecan	Oto-Manguean	False	False
zpi	sout3005	Zapotec (Ixtlan)	17.25	-96.5	North America	Zapotecan	Oto-Manguean	False	False
zte	texm1235	Zapotec (Texmelucan)	16.5	-97.1666666667	North America	Zapotecan	Oto-Manguean	False	False
muh	seba1251	Muher	8.16666666667	38.1666666667	Africa	Semitic	Afro-Asiatic	False	False
day	dayy1236	Day	8.75	17.8333333333	Africa	Adamawa	Niger-Congo	False	False
pal	pala1344	Palauan	7.5	134.583333333	Papunesia	Palauan	Austronesian	False	False
urn	urar1246	Urarina	-4.5	-75.5	South America	Urarina	Urarina	False	False
rum	rumu1243	Rumu	-7.16666666667	144.25	Papunesia	Turama-Kikorian	Turama-Kikorian	False	False
irq	iraq1241	Iraqw	-4.0	35.5	Africa	Southern Cushitic	Afro-Asiatic	False	True
toz	tong1318	Tonga (in Zambia)	-17.0	27.0	Africa	Bantoid	Niger-Congo	False	False
qui	quil1240	Quileute	47.9166666667	-124.25	North America	Chimakuan	Chimakuan	False	False
izh	ingr1248	Izhor	59.0	29.0	Eurasia	Finnic	Uralic	False	False
diz	dizi1235	Dizi	6.16666666667	36.5	Africa	North Omotic	Afro-Asiatic	False	False
tmo	tibe1272	Tibetan (Modern Literary)	29.8333333333	91.5	Eurasia	Bodic	Sino-Tibetan	False	False
tod	stod1241	Tod	32.4166666667	77.25	Eurasia	Bodic	Sino-Tibetan	False	False
tis	tibe1272	Tibetan (Shigatse)	29.0	89.0	Eurasia	Bodic	Sino-Tibetan	False	False
tib	tibe1272	Tibetan (Standard Spoken)	30.0	91.0	Eurasia	Bodic	Sino-Tibetan	False	False
tna	turk1308	Turkana	3.0	35.5	Africa	Nilotic	Nilo-Saharan	False	False
yaq	yaqu1251	Yaqui	27.5	-110.25	North America	Cahita	Uto-Aztecan	True	True
stl	sant1410	Santali	24.5	87.0	Eurasia	Munda	Austro-Asiatic	False	False
nar	nara1262	Nara (in Ethiopia)	15.0833333333	37.5833333333	Africa	Nara	Nilo-Saharan	False	False
mrd	nucl1622	Marind	-7.83333333333	140.166666667	Papunesia	Marind Proper	Marind	False	True
yor	yoru1245	Yoruba	8.0	4.33333333333	Africa	Defoid	Niger-Congo	True	True
sar	kapr1245	Sare	-4.5	143.166666667	Papunesia	Sepik Hill	Sepik	False	False
guq	cari1279	Guaque	1.0	-72.0833333333	South America	Cariban	Cariban	False	False
kdw	kadi1248	Kadiwéu	-20.0	-57.0	South America	Guaicuruan	Guaicuruan	False	False
nia	nias1242	Nias	1.0	97.75	Papunesia	Northwest Sumatra-Barrier Islands	Austronesian	False	False
orc	oroc1248	Oroch	50.3333333333	137.5	Eurasia	Tungusic	Altaic	False	False
bla	siks1238	Blackfoot	50.0	-112.666666667	North America	Algonquian	Algic	False	False
kms	kama1351	Kamass	52.0	92.0	Eurasia	Samoyedic	Uralic	False	False
tas	tach1250	Tashlhiyt	31.0	-5.0	Africa	Berber	Afro-Asiatic	False	False
eip	eipo1242	Eipo	-4.33333333333	140.083333333	Papunesia	Mek	Trans-New Guinea	False	False
dhw	thur1254	Dharawal	-34.5	150.5	Australia	Pama-Nyungan	Australian	False	False
bzi	bauz1241	Bauzi	-2.5	137.5	Papunesia	East Geelvink Bay	East Geelvink Bay	False	False
vag	vagl1239	Vagla	9.41666666667	-2.41666666667	Africa	Gur	Niger-Congo	False	False
bag	bagi1246	Bagirmi	11.6666666667	16.0	Africa	Bongo-Bagirmi	Nilo-Saharan	True	True
idn	idun1242	Iduna	-9.33333333333	150.25	Papunesia	Oceanic	Austronesian	False	False
heh	hehe1240	Hehe	-8.0	36.0	Africa	Bantoid	Niger-Congo	False	False
plk	pali1279	Palikur	3.0	-51.0	South America	Eastern Arawakan	Arawakan	False	False
pso	sout2982	Pomo (Southeastern)	39.0	-122.5	North America	Pomoan	Hokan	False	True
lgt	logo1259	Logoti	3.5	30.0	Africa	Moru-Ma'di	Nilo-Saharan	False	False
dri	dari1249	Dari	35.0	66.0	Eurasia	Iranian	Indo-European	False	False
bkd	binu1244	Binukid	8.25	124.833333333	Papunesia	Greater Central Philippine	Austronesian	False	False
acm	achu1247	Achumawi	41.5	-121.0	North America	Palaihnihan	Hokan	False	False
akl	akla1241	Aklanon	11.5833333333	122.333333333	Papunesia	Greater Central Philippine	Austronesian	False	False
kje	kore1283	Koreguaje	1.0	-75.5	South America	Tucanoan	Tucanoan	False	False
tgo	tsog1243	Tsogo	-1.5	11.3333333333	Africa	Bantoid	Niger-Congo	False	False
mwb	west2555	Manobo (Western Bukidnon)	7.66666666667	124.75	Papunesia	Greater Central Philippine	Austronesian	False	False
mga	ndun1249	Mondunga	2.25	21.5	Africa	Ubangi	Niger-Congo	False	False
lda	gand1255	Luganda	0.5	32.1666666667	Africa	Bantoid	Niger-Congo	False	False
mnv	mina1269	Minaveha	-9.6	150.466666667	Papunesia	Oceanic	Austronesian	False	False
nkr	nuku1260	Nukuoro	3.83333333333	154.916666667	Papunesia	Oceanic	Austronesian	False	False
pre	asut1235	Pare	-4.0	36.5	Africa	Bantoid	Niger-Congo	False	False
che	cher1273	Cherokee	35.5	-83.5	North America	Southern Iroquoian	Iroquoian	False	False
pdp	folo1238	Folopa	-7.0	144.5	Papunesia	Teberan	Teberan-Pawaian	False	False
wrs	wari1266	Waris	-3.16666666667	141.0	Papunesia	Border	Border	False	False
nak	naka1262	Nakanai	-5.58333333333	150.583333333	Papunesia	Oceanic	Austronesian	False	False
jpn	nucl1643	Japanese	37.0	140.0	Eurasia	Japanese	Japanese	True	True
lep	lepc1244	Lepcha	27.1666666667	88.5	Eurasia	Lepcha	Sino-Tibetan	False	True
drg	darg1241	Dargwa	42.25	47.4166666667	Eurasia	Lak-Dargwa	Nakh-Daghestanian	False	False
tzs	tzot1260	Tzotzil (San Andrés)	17.0	-92.8333333333	North America	Mayan	Mayan	False	False
tzz	tzot1264	Tzotzil (Zinacantán)	16.8333333333	-92.8333333333	North America	Mayan	Mayan	False	False
tzo	tzot1262	Tzotzil	16.5	-92.6666666667	North America	Mayan	Mayan	False	False
grt	goro1259	Gorontalo	0.5	122.0	Papunesia	Greater Central Philippine	Austronesian	False	False
onn	onon1246	Onondaga	42.75	-76.1666666667	North America	Northern Iroquoian	Iroquoian	False	False
cnm	kana1291	Canamarí	-6.5	-68.5	South America	Katukinan	Katukinan	False	False
kkw	kara1289	Karankawa	28.0	-97.0	North America	Karankawa	Karankawa	False	False
hln	hala1252	Halang	14.5	107.5	Eurasia	Bahnaric	Austro-Asiatic	False	False
mki	mika1239	Mikasuki	32.0	-85.0	North America	Muskogean	Muskogean	False	False
mtt	wamp1249	Massachusett	42.5	-71.0	North America	Algonquian	Algic	False	False
jad	tibe1272	Jad	30.8333333333	79.0	Eurasia	Bodic	Sino-Tibetan	False	False
pna	pamo1252	Pamona	-1.75	120.833333333	Papunesia	Celebic	Austronesian	False	False
wnt	want1252	Wantoat	-6.16666666667	146.5	Papunesia	Finisterre-Huon	Trans-New Guinea	False	False
akk	akak1252	Aka-Kede	12.75	92.75	Eurasia	Great Andamanese	Great Andamanese	False	False
atm	kunz1244	Atacameño	-23.0	-69.0	South America	Kunza	Kunza	False	False
ngl	ngal1293	Ngalakan	-14.25	134.0	Australia	Ngalakan	Australian	False	False
wob	weno1238	Wobe	7.41666666667	-7.33333333333	Africa	Kru	Niger-Congo	False	False
brr	boro1282	Bororo	-16.0	-57.0	South America	Bororo	Macro-Ge	False	False
krc	kara1465	Karachay-Balkar	43.5	42.0	Eurasia	Turkic	Altaic	False	False
els	else1239	Elseng	-3.0	140.5	Papunesia	Morwap	Morwap	False	False
amq	amba1265	Ambai	-1.83333333333	136.5	Papunesia	South Halmahera - West New Guinea	Austronesian	False	False
mud	mund1327	Mundani	5.66666666667	9.91666666667	Africa	Bantoid	Niger-Congo	False	False
nga	ngan1291	Nganasan	71.0	93.0	Eurasia	Samoyedic	Uralic	False	False
nbr	ngab1239	Ngäbere	8.66666666667	-82.0	North America	Guaymi	Chibchan	False	False
ora	emai1241	Emai	7.08333333333	5.91666666667	Africa	Edoid	Niger-Congo	False	False
dgi	indo1311	Dogri	33.0	75.0	Eurasia	Indic	Indo-European	False	False
cre	plai1258	Cree (Plains)	54.0	-110.0	North America	Algonquian	Algic	True	True
agu	agua1252	Aguacatec	15.4166666667	-91.3333333333	North America	Mayan	Mayan	False	False
oks	oksa1245	Oksapmin	-5.16666666667	142.166666667	Papunesia	Oksapmin	Oksapmin	False	False
ina	suab1238	Inanwatan	-2.08333333333	132.083333333	Papunesia	South Bird's Head	Marind	False	False
gku	puel1244	Gününa Küne	-41.0	-67.0	South America	Puelche	Chon	False	False
nma	maon1238	Naga (Mao)	25.5	94.3333333333	Eurasia	Kuki-Chin	Sino-Tibetan	False	False
rga	rong1268	Ronga	-26.0	32.5	Africa	Bantoid	Niger-Congo	False	False
pme	east2545	Pomo (Eastern)	39.0	-122.666666667	North America	Pomoan	Hokan	False	False
cut	cuit1236	Cuitlatec	17.5	-101.0	North America	Cuitlatec	Cuitlatec	False	False
hid	hida1246	Hidatsa	47.0	-102.5	North America	Siouan	Siouan	False	False
tzu	cakc1244	Tzutujil	14.6666666667	-91.3333333333	North America	Mayan	Mayan	False	False
yin	yind1247	Yindjibarndi	-21.75	117.916666667	Australia	Pama-Nyungan	Australian	False	False
cly	chul1246	Chulym	54.3333333333	89.6666666667	Eurasia	Turkic	Altaic	False	False
yan	yana1271	Yana	40.5	-122.0	North America	Yana	Hokan	False	False
juk	juku1254	Jukun	6.91666666667	10.4166666667	Africa	Platoid	Niger-Congo	False	False
nav	nava1243	Navajo	36.1666666667	-108.0	North America	Athapaskan	Na-Dene	False	True
nkt	nyah1250	Nyah Kur (Tha Pong)	15.6666666667	101.666666667	Eurasia	Monic	Austro-Asiatic	False	False
sed	seda1262	Sedang	14.8333333333	108.0	Eurasia	Bahnaric	Austro-Asiatic	False	False
krl	kare1335	Karelian	64.0	32.0	Eurasia	Finnic	Uralic	False	False
tse	uabm1237	Timorese	-9.66666666667	124.5	Papunesia	Central Malayo-Polynesian	Austronesian	False	False
jcr	jama1262	Jamaican Creole	18.1666666667	-77.25	North America	Creoles and Pidgins	other	False	False
nyl	nyal1254	Nyelâyu	-20.3333333333	164.333333333	Papunesia	Oceanic	Austronesian	False	False
shh	shar1245	Sharanahua	-11.0	-70.0	South America	Panoan	Panoan	False	False
obk	obok1239	Obokuitai	-3.0	138.0	Papunesia	Lakes Plain	Lakes Plain	False	False
wgl	waig1243	Waigali	35.0	71.25	Eurasia	Indic	Indo-European	False	False
ibi	ibib1240	Ibibio	5.25	7.83333333333	Africa	Cross River	Niger-Congo	False	False
bsi	siwi1239	Berber (Siwa)	29.1666666667	25.5	Africa	Berber	Afro-Asiatic	False	False
mua	makh1264	Makua	-15.0	38.6666666667	Africa	Bantoid	Niger-Congo	False	False
mkg	mand1436	Mandinka (Gambian)	13.4166666667	-16.0	Africa	Western Mande	Niger-Congo	False	False
mdk	mand1436	Mandinka	13.0	-15.6666666667	Africa	Western Mande	Niger-Congo	False	False
crp	cara1272	Carapana	0.833333333333	-70.75	South America	Tucanoan	Tucanoan	False	False
aci	quic1275	Achí	15.1666666667	-90.5	North America	Mayan	Mayan	False	False
bsq	basq1248	Basque	43.0	-3.0	Eurasia	Basque	Basque	True	True
bqb	basq1248	Basque (Bidasoa Valley)	43.0	-3.83333333333	Eurasia	Basque	Basque	False	False
bqg	basq1248	Basque (Gernica)	43.3333333333	-3.0	Eurasia	Basque	Basque	False	False
bqh	basq1248	Basque (Hondarribia)	42.5	-3.0	Eurasia	Basque	Basque	False	False
bql	basq1248	Basque (Lekeitio)	43.0	-2.5	Eurasia	Basque	Basque	False	False
bqn	basq1248	Basque (Northern High Navarrese)	43.3333333333	-2.5	Eurasia	Basque	Basque	False	False
bqo	basq1248	Basque (Oñati)	42.5	-3.5	Eurasia	Basque	Basque	False	False
bqr	basq1248	Basque (Roncalese)	43.0	-2.0	Eurasia	Basque	Basque	False	False
bqs	basq1248	Basque (Sakana)	42.5	-2.0	Eurasia	Basque	Basque	False	False
bso	basq1250	Basque (Souletin)	43.5	-1.5	Eurasia	Basque	Basque	False	False
bqz	basq1248	Basque (Zeberio)	42.0	-3.0	Eurasia	Basque	Basque	False	False
bqi	basq1248	Basque (Basaburua and Imoz)	43.0	-1.66666666667	Eurasia	Basque	Basque	False	False
gcy	mode1248	Greek (Cypriot)	34.75	33.0	Eurasia	Greek	Indo-European	False	False
grk	mode1248	Greek (Modern)	39.0	22.0	Eurasia	Greek	Indo-European	True	True
mer	meri1244	Meryam Mir	-9.91666666667	144.083333333	Papunesia	Western Fly	Western Fly	False	False
des	desa1247	Desano	0.833333333333	-69.8333333333	South America	Tucanoan	Tucanoan	False	False
kre	gbay1288	Kresh	8.5	24.5	Africa	Kresh	Nilo-Saharan	False	False
kte	kete1252	Kete	-7.0	22.8333333333	Africa	Bantoid	Niger-Congo	False	False
mtl	matt1238	Mattole	40.1666666667	-124.166666667	North America	Athapaskan	Na-Dene	False	False
ttu	bats1242	Tsova-Tush	42.5	45.5	Eurasia	Nakh	Nakh-Daghestanian	False	False
koo	kola1285	Kola	-5.5	134.5	Papunesia	Central Malayo-Polynesian	Austronesian	False	False
dja	dyaa1242	Djabugay	-16.75	145.583333333	Australia	Pama-Nyungan	Australian	False	False
taw	tawa1275	Tawala	-10.3333333333	150.666666667	Papunesia	Oceanic	Austronesian	False	False
mrw	muru1266	Muruwari	-28.75	147.0	Australia	Pama-Nyungan	Australian	False	False
ven	vend1245	Venda	-22.0	30.0	Africa	Bantoid	Niger-Congo	False	False
kai	kaia1245	Kaian	-4.08333333333	144.75	Papunesia	Lower Ramu	Lower Sepik-Ramu	False	False
tiw	tiwi1244	Tiwi	-11.5	131.0	Australia	Tiwian	Australian	True	True
cah	cahu1264	Cahuilla	33.5	-116.25	North America	Takic	Uto-Aztecan	False	True
ken	keng1240	Kenga	12.0	18.0	Africa	Bongo-Bagirmi	Nilo-Saharan	False	False
srm	sara1340	Saramaccan	4.5	-55.5	South America	Creoles and Pidgins	other	False	False
oma	omag1248	Omagua	-4.0	-73.5	South America	Tupi-Guaraní	Tupian	False	False
bnk	bank1256	Bankon	4.41666666667	9.58333333333	Africa	Bantoid	Niger-Congo	False	False
ber	bert1248	Berta	10.3333333333	34.6666666667	Africa	Berta	Nilo-Saharan	False	False
ret	tani1257	Retuarã	-0.5	-70.6666666667	South America	Tucanoan	Tucanoan	False	False
alu	alut1245	Alutor	61.0	165.0	Eurasia	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	False	False
dgx	dege1248	Degexit'an	62.0	-160.0	North America	Athapaskan	Na-Dene	False	False
lnw	lonw1238	Lonwolwol	-16.2166666667	168.0	Papunesia	Oceanic	Austronesian	False	False
nkb	ngal1292	Ngalkbun	-13.5	134.833333333	Australia	Gunwinygic	Australian	False	False
olo	oloo1241	Olo	-3.41666666667	142.0	Papunesia	Wapei-Palei	Torricelli	False	False
stn	pedi1238	Sotho (Northern)	-24.0	29.0	Africa	Bantoid	Niger-Congo	False	False
knr	cent2050	Kanuri	12.0	13.0	Africa	Western Saharan	Nilo-Saharan	False	True
gar	garo1247	Garo	25.6666666667	90.5	Eurasia	Bodo-Garo	Sino-Tibetan	False	True
kse	koyr1242	Koyraboro Senni	16.0	0.0	Africa	Songhay	Nilo-Saharan	True	True
kch	koyr1240	Koyra Chiini	17.0	-3.0	Africa	Songhay	Nilo-Saharan	False	False
toq	toab1237	Toqabaqita	-8.41666666667	160.583333333	Papunesia	Oceanic	Austronesian	False	False
lez	lezg1247	Lezgian	41.6666666667	47.8333333333	Eurasia	Lezgic	Nakh-Daghestanian	True	True
qaf	afar1241	Qafar	12.0	42.0	Africa	Eastern Cushitic	Afro-Asiatic	False	False
alb	tosk1239	Albanian	41.0	20.0	Eurasia	Albanian	Indo-European	False	False
dim	dime1235	Dime	6.16666666667	36.25	Africa	South Omotic	Afro-Asiatic	False	False
url	urak1238	Urak Lawoi'	8.0	98.3333333333	Eurasia	Malayo-Sumbawan	Austronesian	False	False
mco	coat1238	Mixe (Coatlán)	16.9166666667	-95.6666666667	North America	Mixe-Zoque	Mixe-Zoque	False	False
mth	tlah1239	Mixe (Tlahuitoltepec)	17.0833333333	-96.1666666667	North America	Mixe-Zoque	Mixe-Zoque	False	False
mtp	toto1305	Mixe (Totontepec)	17.25	-96.0	North America	Mixe-Zoque	Mixe-Zoque	False	False
dhi	dhiv1236	Dhivehi	4.16666666667	73.5	Eurasia	Indic	Indo-European	False	False
paw	pawa1255	Pawaian	-7.0	145.083333333	Papunesia	Pawaian	Teberan-Pawaian	False	False
sal	sali1253	Salinan	36.0	-121.0	North America	Salinan	Salinan	False	False
krf	kora1294	Korafe	-9.05	149.083333333	Papunesia	Binanderean	Trans-New Guinea	False	False
nis	nisi1239	Nyishi	27.5	93.5	Eurasia	Tani	Sino-Tibetan	False	False
mle	male1284	Maale	6.0	36.9166666667	Africa	North Omotic	Afro-Asiatic	False	False
kpm	pamp1243	Kapampangan	15.3333333333	120.5	Papunesia	Central Luzon	Austronesian	False	False
mwe	mwer1248	Mwera	-9.0	39.0	Africa	Bantoid	Niger-Congo	False	False
kho	nama1264	Khoekhoe	-25.5	18.0	Africa	Central Khoisan	Khoisan	True	True
bkt	brok1247	Brokskat	35.3333333333	76.5	Eurasia	Indic	Indo-European	False	False
sav	savi1242	Savi	35.0	71.5	Eurasia	Indic	Indo-European	False	False
sna	shin1264	Shina	36.0	74.0	Eurasia	Indic	Indo-European	False	False
sht	shat1244	Shatt	10.8333333333	30.0	Africa	Daju	Nilo-Saharan	False	False
mng	mang1405	Manggarai	-8.5	120.333333333	Papunesia	Central Malayo-Polynesian	Austronesian	False	False
yta	noga1249	Yurt Tatar	46.3333333333	48.5	Eurasia	Turkic	Altaic	False	False
tlb	noga1249	Tatar-Noghay (Alabugat)	47.4166666667	45.6666666667	Eurasia	Turkic	Altaic	False	False
nok	noga1249	Noghay (Karagash)	47.5	47.25	Eurasia	Turkic	Altaic	False	False
nog	noga1249	Noghay	44.0	46.0	Eurasia	Turkic	Altaic	False	False
jah	jeha1242	Jahai	5.75	101.5	Eurasia	Aslian	Austro-Asiatic	False	False
rwe	wels1246	Romani (Welsh)	52.0	-4.0	Eurasia	Indic	Indo-European	False	False
rka	vlax1238	Romani (Kalderash)	45.0	21.0	Eurasia	Indic	Indo-European	False	False
rav	balk1252	Romani (Ajia Varvara)	38.0	23.5833333333	Eurasia	Indic	Indo-European	False	False
rnr	balt1257	Romani (North Russian)	60.0	38.0	Eurasia	Indic	Indo-European	False	False
rbu	balk1252	Romani (Bugurdzi)	42.6666666667	21.1666666667	Eurasia	Indic	Indo-European	False	False
rlo	vlax1238	Romani (Lovari)	47.0	21.5	Eurasia	Indic	Indo-European	False	False
rbg	sint1235	Romani (Burgenland)	47.5	16.5	Eurasia	Indic	Indo-European	False	False
rse	None	Romani (Sepecides)	38.25	27.0	None	Indic	Indo-European	False	False
cas	cash1251	Cashibo	-8.5	-75.5	South America	Panoan	Panoan	False	False
mit	mitu1240	Mituku	-1.66666666667	25.5	Africa	Bantoid	Niger-Congo	False	False
hwc	hawa1247	Hawaiian Creole	21.5	-158.0	North America	Creoles and Pidgins	other	False	False
gro	guro1248	Guro	7.0	-6.0	Africa	Eastern Mande	Niger-Congo	False	False
nro	naro1249	Nharo	-22.3333333333	20.5	Africa	Central Khoisan	Khoisan	False	False
anc	ngas1240	Angas	9.5	9.5	Africa	West Chadic	Afro-Asiatic	False	False
eya	eyak1241	Eyak	60.5	-145.0	North America	Eyak	Na-Dene	False	False
yes	yess1239	Yessan-Mayo	-4.16666666667	142.583333333	Papunesia	Tama Sepik	Sepik	False	False
tab	east2440	Taba	0.0	127.5	Papunesia	South Halmahera - West New Guinea	Austronesian	False	True
slp	sele1250	Selepet	-6.16666666667	147.166666667	Papunesia	Finisterre-Huon	Trans-New Guinea	False	False
ddf	darf1239	Daju (Dar Fur)	12.25	25.25	Africa	Daju	Nilo-Saharan	False	False
kil	luba1250	Kiluba	-8.0	26.0	Africa	Bantoid	Niger-Congo	False	False
gll	gale1259	Galela	2.41666666667	128.333333333	Papunesia	North Halmaheran	West Papuan	False	False
cze	czec1258	Czech	50.0	15.0	Eurasia	Slavic	Indo-European	False	False
pot	pota1247	Potawatomi	44.5	-85.0	North America	Algonquian	Algic	False	False
wya	wyan1247	Wyandot	44.3333333333	-77.5	North America	Northern Iroquoian	Iroquoian	False	False
psh	cent1973	Pashto	33.0	67.0	Eurasia	Iranian	Indo-European	False	False
kuv	kuvi1243	Kuvi	18.75	82.6666666667	Eurasia	South-Central Dravidian	Dravidian	False	False
raw	rawa1265	Rawang	27.5	97.5	Eurasia	Nungish	Sino-Tibetan	False	False
def	defa1248	Defaka	4.58333333333	7.5	Africa	Ijoid	Niger-Congo	False	False
mcv	moco1246	Mocoví	-28.0	-60.5	South America	Guaicuruan	Guaicuruan	False	False
kjr	koor1239	Koorete	5.83333333333	37.8333333333	Africa	North Omotic	Afro-Asiatic	False	False
ssa	west2465	Sisaala	10.8333333333	-2.66666666667	Africa	Gur	Niger-Congo	False	False
skw	shek1243	Shekhawati	28.0	75.5	Eurasia	Indic	Indo-European	False	False
srd	camp1261	Sardinian	40.0	9.0	Eurasia	Romance	Indo-European	False	False
koh	kohu1244	Kohumono	6.0	8.11666666667	Africa	Cross River	Niger-Congo	False	False
vai	vaii1241	Vai	6.91666666667	-11.25	Africa	Western Mande	Niger-Congo	False	False
nez	nezp1238	Nez Perce	46.0	-116.0	North America	Sahaptian	Penutian	False	True
dad	dadi1250	Dadibi	-6.55	144.583333333	Papunesia	Teberan	Teberan-Pawaian	False	False
hoa	hoav1238	Hoava	-8.08333333333	157.5	Papunesia	Oceanic	Austronesian	False	False
ckh	chek1238	Cheke Holo	-8.33333333333	159.666666667	Papunesia	Oceanic	Austronesian	False	False
kie	kire1240	Kire	-4.25	144.75	Papunesia	Mikarew	Lower Sepik-Ramu	False	False
nju	nyun1247	Nyungar	-33.75	122.0	Australia	Pama-Nyungan	Australian	False	False
awd	awad1243	Awadhi	27.5	81.5	Eurasia	Indic	Indo-European	False	False
kef	kafa1242	Kefa	7.25	36.25	Africa	South Omotic	Afro-Asiatic	False	False
kow	winy1241	Ko (Winye)	11.8666666667	-2.91666666667	Africa	Gur	Niger-Congo	False	False
omh	omah1247	Omaha	42.0	-97.25	North America	Siouan	Siouan	False	False
